Player,Team,Rating,K/D,Assists_per_round,Support_rounds,Impact_Score,Sacrifice_Index,Star_Factor,Cluster,Predicted_Role
zweih,Spirit,0.98,0.89,0.17,0.08,0.8722,0.013600000000000001,5.444444444444445,1,Tüfekçi / Giriş (Entry)
nota,PARIVISION,1.12,0.81,0.22,0.13,0.9072000000000001,0.0286,4.869565217391305,2,Lider / Destek (IGL)
MATYS,G2,0.99,0.84,0.2,0.12,0.8316,0.024,4.5,2,Lider / Destek (IGL)
hallzerk,Passion UA,0.83,0.91,0.15,0.11,0.7553,0.0165,3.9523809523809517,2,Lider / Destek (IGL)
YEKINDAR,FURIA,1.0,0.82,0.28,0.05,0.82,0.014000000000000002,6.666666666666666,1,Tüfekçi / Giriş (Entry)
EliGE,Liquid,0.83,0.83,0.18,0.14,0.6889,0.0252,3.458333333333333,2,Lider / Destek (IGL)
kyxsan,Falcons,0.76,0.82,0.21,0.06,0.6232,0.012599999999999998,4.75,1,Tüfekçi / Giriş (Entry)
Maka,3DMAX,0.93,0.91,0.15,0.05,0.8463,0.0075,6.199999999999999,1,Tüfekçi / Giriş (Entry)
Jame,PARIVISION,0.76,0.96,0.1,0.13,0.7296,0.013000000000000001,3.3043478260869565,2,Lider / Destek (IGL)
Aleksib,Natus Vincere,0.69,0.83,0.19,0.11,0.5726999999999999,0.020900000000000002,3.285714285714285,2,Lider / Destek (IGL)
Lucky,3DMAX,0.68,0.83,0.2,0.1,0.5644,0.020000000000000004,3.4,2,Lider / Destek (IGL)
nicx,Passion UA,0.73,0.78,0.13,0.13,0.5694,0.016900000000000002,3.1739130434782608,2,Lider / Destek (IGL)
Grim,Passion UA,0.87,0.79,0.16,0.07,0.6873,0.011200000000000002,5.117647058823529,1,Tüfekçi / Giriş (Entry)
npl,B8,0.82,0.79,0.2,0.12,0.6478,0.024,3.727272727272727,2,Lider / Destek (IGL)
siuhy,Liquid,0.91,0.81,0.18,0.09,0.7371000000000001,0.0162,4.7894736842105265,1,Tüfekçi / Giriş (Entry)
Techno,The MongolZ,0.84,0.82,0.15,0.07,0.6888,0.0105,4.941176470588235,1,Tüfekçi / Giriş (Entry)
skullz,Imperial,0.71,0.86,0.16,0.2,0.6105999999999999,0.032,2.3666666666666663,2,Lider / Destek (IGL)
chelo,Imperial,0.93,0.8,0.25,0.07,0.7440000000000001,0.0175,5.470588235294118,1,Tüfekçi / Giriş (Entry)
TeSeS,Falcons,0.73,0.78,0.22,0.09,0.5694,0.019799999999999998,3.8421052631578947,2,Lider / Destek (IGL)
malbsMd,G2,0.93,0.73,0.16,0.08,0.6789000000000001,0.0128,5.166666666666667,1,Tüfekçi / Giriş (Entry)
headtr1ck,B8,0.71,0.87,0.12,0.08,0.6176999999999999,0.0096,3.944444444444444,1,Tüfekçi / Giriş (Entry)
chopper,Spirit,0.77,0.83,0.19,0.05,0.6391,0.009500000000000001,5.133333333333333,1,Tüfekçi / Giriş (Entry)
apEX,Vitality,0.82,0.75,0.22,0.08,0.615,0.0176,4.555555555555555,1,Tüfekçi / Giriş (Entry)
dav1deuS,paiN,0.89,0.81,0.2,0.09,0.7209000000000001,0.018,4.684210526315789,1,Tüfekçi / Giriş (Entry)
ultimate,Liquid,0.73,0.73,0.13,0.06,0.5328999999999999,0.0078,4.5625,1,Tüfekçi / Giriş (Entry)
NertZ,Liquid,0.96,0.82,0.23,0.06,0.7871999999999999,0.0138,6.0,1,Tüfekçi / Giriş (Entry)
karrigan,FaZe,0.79,0.77,0.19,0.06,0.6083000000000001,0.0114,4.9375,1,Tüfekçi / Giriş (Entry)
huNter-,G2,0.79,0.77,0.2,0.07,0.6083000000000001,0.014000000000000002,4.647058823529411,1,Tüfekçi / Giriş (Entry)
noway,Imperial,0.7,0.83,0.21,0.14,0.581,0.029400000000000003,2.916666666666666,2,Lider / Destek (IGL)
AW,PARIVISION,0.7,0.7,0.13,0.09,0.48999999999999994,0.0117,3.6842105263157894,1,Tüfekçi / Giriş (Entry)
BELCHONOKK,PARIVISION,0.77,0.68,0.24,0.13,0.5236000000000001,0.0312,3.3478260869565215,2,Lider / Destek (IGL)
Brollan,MOUZ,0.83,0.7,0.17,0.06,0.581,0.0102,5.1875,1,Tüfekçi / Giriş (Entry)
VINI,Imperial,0.69,0.63,0.27,0.06,0.4347,0.0162,4.3125,1,Tüfekçi / Giriş (Entry)
Ex3rcice,3DMAX,0.64,0.78,0.16,0.08,0.49920000000000003,0.0128,3.555555555555556,1,Tüfekçi / Giriş (Entry)
snow,paiN,0.73,0.66,0.24,0.11,0.4818,0.0264,3.476190476190476,2,Lider / Destek (IGL)
