Player,Team,Rating,K/D,Assists_per_round,Support_rounds,Impact_Score,Sacrifice_Index,Star_Factor,Cluster,Predicted_Role
Sonic,NRG,1.11,0.77,0.16,0.08,0.8547000000000001,0.0128,6.166666666666668,1,Tüfekçi / Giriş (Entry)
Neityu,FaZe,0.96,0.94,0.18,0.13,0.9023999999999999,0.0234,4.173913043478261,0,Yıldız (Star Rifler)
krazy,BC.Game,0.72,0.88,0.15,0.11,0.6335999999999999,0.0165,3.428571428571428,2,Lider / Destek (IGL)
MoDo,SINNERS,0.79,0.98,0.14,0.11,0.7742,0.015400000000000002,3.761904761904762,2,Lider / Destek (IGL)
JBa,M80,1.02,0.86,0.13,0.11,0.8772,0.0143,4.857142857142857,2,Lider / Destek (IGL)
beastik,SINNERS,0.83,0.82,0.27,0.09,0.6805999999999999,0.024300000000000002,4.368421052631579,2,Lider / Destek (IGL)
try,Passion UA,1.02,1.07,0.12,0.16,1.0914000000000001,0.0192,3.923076923076923,0,Yıldız (Star Rifler)
S1ren,BetBoom,0.74,0.84,0.15,0.1,0.6215999999999999,0.015,3.6999999999999997,2,Lider / Destek (IGL)
apEX,Vitality,1.11,0.79,0.29,0.07,0.8769000000000001,0.020300000000000002,6.529411764705882,1,Tüfekçi / Giriş (Entry)
broky,FaZe,0.84,0.99,0.12,0.12,0.8316,0.0144,3.818181818181818,2,Lider / Destek (IGL)
nicx,Passion UA,0.8,0.85,0.19,0.08,0.68,0.0152,4.444444444444445,2,Lider / Destek (IGL)
electroNic,BC.Game,0.89,0.74,0.15,0.11,0.6586,0.0165,4.238095238095238,2,Lider / Destek (IGL)
siuhy,Liquid,0.84,0.87,0.18,0.12,0.7308,0.021599999999999998,3.818181818181818,2,Lider / Destek (IGL)
Boombl4,BetBoom,0.9,0.79,0.22,0.06,0.7110000000000001,0.0132,5.625,2,Lider / Destek (IGL)
ultimate,Liquid,0.62,0.9,0.09,0.1,0.558,0.009,3.0999999999999996,2,Lider / Destek (IGL)
Aleksib,Natus Vincere,0.64,0.77,0.18,0.07,0.4928,0.0126,3.764705882352941,2,Lider / Destek (IGL)
lauNX,FUT,0.85,0.75,0.22,0.09,0.6375,0.019799999999999998,4.473684210526316,2,Lider / Destek (IGL)
Lake,M80,0.91,0.69,0.31,0.09,0.6279,0.027899999999999998,4.7894736842105265,2,Lider / Destek (IGL)
phzy,Astralis,0.81,0.81,0.14,0.07,0.6561000000000001,0.009800000000000001,4.764705882352941,2,Lider / Destek (IGL)
esenthial,B8,0.56,0.81,0.1,0.12,0.45360000000000006,0.012,2.545454545454546,2,Lider / Destek (IGL)
jcobbb,FaZe,0.8,0.74,0.26,0.11,0.592,0.0286,3.8095238095238093,2,Lider / Destek (IGL)
sdy,Passion UA,0.7,0.76,0.22,0.06,0.5319999999999999,0.0132,4.375,2,Lider / Destek (IGL)
HooXi,Astralis,0.68,0.72,0.13,0.07,0.48960000000000004,0.0091,4.0,2,Lider / Destek (IGL)
nitr0,NRG,0.78,0.62,0.26,0.09,0.48360000000000003,0.0234,4.105263157894737,2,Lider / Destek (IGL)
Snax,GamerLegion,0.82,0.75,0.21,0.05,0.615,0.0105,5.466666666666666,2,Lider / Destek (IGL)
oSee,NRG,0.53,0.74,0.09,0.15,0.3922,0.0135,2.12,2,Lider / Destek (IGL)
vsm,paiN,0.73,0.6,0.21,0.06,0.438,0.012599999999999998,4.5625,2,Lider / Destek (IGL)
slaxz-,M80,0.51,0.63,0.14,0.13,0.32130000000000003,0.0182,2.217391304347826,2,Lider / Destek (IGL)
ScrunK,BC.Game,0.26,0.37,0.21,0.05,0.09620000000000001,0.0105,1.7333333333333332,2,Lider / Destek (IGL)
